name,id,new_id,x,y,address,owner_name,notes,category
فارما زون صباح السالم فور,99,21360021,48.08207489,29.25429433,صباح السالم ق 3 شارع 304,السيد / عبد اللطيف جاسم الهاشل,,pharmazone
فارما زون الساحل,100,19120563,48.12536748,29.15109229,المهبولة ق 2 شارع الطريق الساحلي,ص/ كافيه رحيم باتل المطيري,,pharmazone
فارما زون سما,101,20067413,48.09819425,29.17015162,العقيله ق 5 قسيمة 84,ص/ لطيفه ناصر عبد اللطيف الكليب,,pharmazone
فارما زون فيفتي ايت,102,20779242,48.09487352,29.17278973,العقيلة ق 5 مبني 58,ص/ ناصر سليمان جابر السليطي,,pharmazone
فارمازون مكة,103,16098102,48.13037413,29.09364107,المنقف ق 4 شارع 25,ص/ يوسف عايض عوض العازمي,,pharmazone
فارما زون صباح السالم ثري,104,21437578,48.07757021,29.2644645,صباح السالم ق 7 ش 101 قسيمة 385-386 ,ص/ مني جاسم ابراهيم الفارسي,,pharmazone
فارما زون المهبولة,105,17320369,48.11542099,29.15681974,المهبولة ق1 شارع 10 ,ص/ نسيمة فهد مبارك الجري,,pharmazone
فارما زون صباح السالم,106,21292938,48.08253336,29.25481954,صباح السالم ق 3 شارع 300 قسيمه 12,ص/ سامي عبد الكريم عايد فرج,,pharmazone
فارمازون المنقف,107,94411264,48.13011219,29.10809087,المنقف ق 52 مبني 17,ص/ محمد ناهس عشوي العنزي,,pharmazone
فارما زون صباح السالم تو,108,21585749,48.08488094,29.25724052,صباح السالم ق 1 شارع 104,ص/ اروي يوسف شعت,,pharmazone
فارمازون الرعاية,109,20807573,48.13011219,29.10809087,الصديق ق5  مبنىى جمعية الصديق,ص/فواز مصطفى عبداللطيف العومي,,pharmazone
فارما زون عمان,110,90258186,48.0602642,29.32288809,السالمية ق 10 0211 شارع عمان,ص/ هاني درويش حسين زكريا,,pharmazone
فارمازون المغيرة تو,111,93344055,48.04538832,29.32526674,السالمية ق12 ش المغيرة بن شعبه,ص. زهراء حيدر بدر الوزان,,pharmazone
فارمازون الجابرية تو,112,90504885,48.02078266,29.32318931,الجابرية ق 1 شارع 105,ص/ ضحي عبد الستار عبد المحسن الوزان,,pharmazone
فارما زون البلاجات,113,21133945,48.08872855,29.33519529,السالمية ق 6 شارع عمرو بن العاص,ص/ متعب راشد محمد المطيري,,pharmazone
فارما زون حولي,114,20975956,48.02341719,29.3283234,حولي ق 9 ش شرحبيل بناية 9462,ص/ فاطمة علي غلوم اشكناني,,pharmazone
فارما زون بغداد,115,93010362,48.04921002,29.33684204,السالمية ق 4+5 شارع بغداد,ص/ عمار هادي ابراهيم المرزوق,,pharmazone
فارما زون السلام مول,116,19774137,48.06295035,29.33583159,السالمية ق 19 السلام مول محل 23,ص/ سارة جمال عبد الخالق النوري,,pharmazone
فارما زون المثني,117,17168707,48.03250703,29.33427493,حولي ق 7 قسيمه 1 شارع المثني,ص/ فهد خليل عيسي بو حمره,,pharmazone
فارما زون السالمية,118,19572949,48.08956079,29.3384194,السالمية شارع الخنساء ق 3,ص/ عبد الرحمن ابراهيم البلوشي,,pharmazone
فارما زون ميدان حولي,119,17542957,48.04242927,29.34012691,السالمية شارع بغداد ق 11,ص/ قناه اسماعيل احمد اسماعيل,,pharmazone
فارما زون الجابرية,120,93458511,48.01741008,29.32302869,الجابرية ق 1 أ قسيمة 86 مبني 5900,ص/ يحي علي حسين باقر,,pharmazone
فارمازون البحرين,121,17824858,48.08532184,29.33083638,السالمية ق 6 شارع البحرين,ص/ نور جمال محمد العبد الهادي,,pharmazone
فارما زون النخله مول,122,95667712,47.824162 , 29.321859,العاصمه ق 1 شارع جمال عبد الناصر,ص/ سعد ساير قحطان الظفيري,,pharmazone
فارما زون كيفان,123,21308354,47.95253465,29.34344017,كيفان ق 5 مبني نادي الكويت الرياضي,ص/ سعود عبد العزيز الجناعي,,pharmazone
فارما زون غرناطة,124,10564459,47.87828694,29.31183508,غرناطة ق 1 شارع 2 مجمع الدبوس,ص/ حسين حسن ابراهيم دشتي,,pharmazone
فارمازون الجابرية,125,18730028,48.01741008,29.32302869,,,,pharmazone
فارمازون الدائري الرابع,126,11044471,48.0202146,29.32577259,,,,pharmazone
فارمازون المباركية,127,90011351,47.97148454,29.37362963,القبله ق 3 شارع علي سالم قسيمة 4,ص/ صبيحة عبد الحميد محمد عابدين,الاسم في موقع المعلومات المدنية فارمازون ايتي ناين,pharmazone
صيدلية الوفرة,128,96187606,48.17947651,28.55178431,مزارع الوفره-قطعة 5-قسيمة 00اوا11,الدكتور/عبدالله منجد بدر البدر الجناعي,,
صيدلية ذي ووك,129,90773583,47.924289 , 29.270972,العارضية استعمال حكومي-قطعة 0-قسيمة 900014,ص/فيصل سالم مجبل العدواني,,
صيدلية امجاد,130,20922942,48.0853209,29.2629149,صباح السالم-قطعة 1-شارع 114-قسيمة 00082,زينب عبدالواحد حميد صادق,,
صيدلية صحتك خير|(ماى دكتور سابقا),131,95384907,48.08411749,29.26189203,صباح السالم-قطة 1-قسيمة 456-الدور الأرضي,بدرية حجى محمد وليدات,,
صيدلية تداوي الشفاء,132,11486552,48.06199751,29.32165027,,,,
صيدلية بيور الرقعي,133,20320845,47.90981309,29.30135828,,,,
صيدلية النهار,134,18354624,47.67167459,29.34708092,الجهراء-قطعة 3-شارع مرزوق المتعب-قسيمة 4130ا0,ص/ابرار خالد فهد المطيري,,
ذي واير هاوس(فارمازون الاندلس سابقا),135,91160113,48.103609 , 29.085258,جنوب الصباحية-قطعة 1-قسيمة 49,ص/معالي خالد ضويحي الرسيس,,
صيدلية الحبيب,136,16211937,48.04874797,29.33703432,ميدان حولي-قطعة 5+4-مبنى رقم 15,طارق محمد عبدالرحم الحبيب,,
الدوائية بنيد القار,137,21456509,48.00820329,29.36789967,بنيد القار ق 1 ش+A128:A137ارع محمد معرفي قسيمة 20, لطيفه سمير جاسم السري ,,
